LLM,filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
GPT-3.5,Ex00,event,100,70,0.7
GPT-3.5,Ex01,event,91,86,0.945054945
GPT-3.5,Ex02,event,128,77,0.6015625
GPT-3.5,Ex03,event,278,91,0.327338129
GPT-3.5,Ex04,event,193,77,0.398963731
GPT-3.5,Ex05,event,205,95,0.463414634
GPT-3.5,Ex06,event,110,73,0.663636364
GPT-3.5,Ex07,event,145,100,0.689655172
GPT-3.5,Ex08,event,156,81,0.519230769
GPT-3.5,Ex09,event,178,40,0.224719101
GPT-3.5,Ex10,event,164,72,0.43902439
GPT-3.5,A1.0,event,37,34,0.918918919
GPT-3.5,A2.0,event,71,59,0.830985915
GPT-3.5,A3.0,event,83,54,0.65060241
GPT-3.5,A4.0,event,125,70,0.56
GPT-3.5,A4.1,event,132,70,0.53030303
GPT-3.5,B1.0,event,221,79,0.357466063
GPT-3.5,C1.0,event,226,96,0.424778761
GPT-3.5,C1.1,event,113,47,0.415929204
GPT-3.5,C2.0,event,253,68,0.268774704
GPT-3.5,C3.0,event,138,57,0.413043478
GPT-3.5,C4.0,event,230,70,0.304347826
GPT-3.5,C5.0,event,385,67,0.174025974
GPT-3.5,C6.0,event,308,70,0.227272727
GPT-3.5,C7.0,event,133,68,0.511278195
GPT-3.5,C8.0,event,161,140,0.869565217
GPT-4,Ex00,event,100,82,0.82
GPT-4,Ex01,event,91,75,0.824175824
GPT-4,Ex02,event,128,99,0.7734375
GPT-4,Ex03,event,278,219,0.787769784
GPT-4,Ex04,event,193,146,0.756476684
GPT-4,Ex05,event,205,152,0.741463415
GPT-4,Ex06,event,110,87,0.790909091
GPT-4,Ex07,event,145,109,0.751724138
GPT-4,Ex08,event,156,113,0.724358974
GPT-4,Ex09,event,178,142,0.797752809
GPT-4,Ex10,event,164,115,0.701219512
GPT-4,A1.0,event,37,31,0.837837838
GPT-4,A2.0,event,71,58,0.816901408
GPT-4,A3.0,event,83,58,0.698795181
GPT-4,A4.0,event,125,104,0.832
GPT-4,A4.1,event,132,101,0.765151515
GPT-4,B1.0,event,221,168,0.760180995
GPT-4,C1.0,event,226,162,0.716814159
GPT-4,C1.1,event,113,84,0.743362832
GPT-4,C2.0,event,253,183,0.723320158
GPT-4,C3.0,event,138,102,0.739130435
GPT-4,C4.0,event,230,179,0.77826087
GPT-4,C5.0,event,385,316,0.820779221
GPT-4,C6.0,event,308,210,0.681818182
GPT-4,C7.0,event,133,101,0.759398496
GPT-4,C8.0,event,161,130,0.807453416
GPT-4o,Ex00,event,100,74,0.74
GPT-4o,Ex01,event,91,87,0.956043956
GPT-4o,Ex02,event,128,65,0.5078125
GPT-4o,Ex03,event,278,77,0.276978417
GPT-4o,Ex04,event,193,130,0.67357513
GPT-4o,Ex05,event,205,81,0.395121951
GPT-4o,Ex06,event,110,65,0.590909091
GPT-4o,Ex07,event,145,106,0.731034483
GPT-4o,Ex08,event,156,71,0.455128205
GPT-4o,Ex09,event,178,63,0.353932584
GPT-4o,Ex10,event,164,90,0.548780488
GPT-4o,A1.0,event,37,23,0.621621622
GPT-4o,A2.0,event,71,98,1.38028169
GPT-4o,A3.0,event,83,74,0.891566265
GPT-4o,A4.0,event,125,94,0.752
GPT-4o,A4.1,event,132,54,0.409090909
GPT-4o,B1.0,event,221,84,0.380090498
GPT-4o,C1.0,event,226,81,0.35840708
GPT-4o,C1.1,event,113,88,0.778761062
GPT-4o,C2.0,event,253,64,0.252964427
GPT-4o,C3.0,event,138,76,0.550724638
GPT-4o,C4.0,event,230,66,0.286956522
GPT-4o,C5.0,event,385,122,0.316883117
GPT-4o,C6.0,event,308,105,0.340909091
GPT-4o,C7.0,event,133,303,2.278195489
GPT-4o,C8.0,event,161,303,1.881987578
Llama3-70B,Ex00,event,100,85,0.85
Llama3-70B,Ex01,event,91,186,2.043956044
Llama3-70B,Ex02,event,128,96,0.75
Llama3-70B,Ex03,event,278,619,2.226618705
Llama3-70B,Ex04,event,193,616,3.191709845
Llama3-70B,Ex05,event,205,64,0.312195122
Llama3-70B,Ex06,event,110,75,0.681818182
Llama3-70B,Ex07,event,145,130,0.896551724
Llama3-70B,Ex08,event,156,316,2.025641026
Llama3-70B,Ex09,event,178,601,3.376404494
Llama3-70B,Ex10,event,164,594,3.62195122
Llama3-70B,A1.0,event,37,45,1.216216216
Llama3-70B,A2.0,event,71,53,0.746478873
Llama3-70B,A3.0,event,83,252,3.036144578
Llama3-70B,A4.0,event,125,113,0.904
Llama3-70B,A4.1,event,132,121,0.916666667
Llama3-70B,B1.0,event,221,125,0.56561086
Llama3-70B,C1.0,event,226,626,2.769911504
Llama3-70B,C1.1,event,113,98,0.867256637
Llama3-70B,C2.0,event,253,187,0.739130435
Llama3-70B,C3.0,event,138,92,0.666666667
Llama3-70B,C4.0,event,230,108,0.469565217
Llama3-70B,C5.0,event,385,147,0.381818182
Llama3-70B,C6.0,event,308,168,0.545454545
Llama3-70B,C7.0,event,133,196,1.473684211
Llama3-70B,C8.0,event,161,164,1.01863354
