N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,CallActivity
4,0,2.0,0.408248290463863,1.1998333506908285,2.8001666493091717,2.0,2,8,0.816496580927726,0.6666666666666666,0.5,2,1,3,0.0,-1.0,0.9446643968314482,0.6829615282579,1.75,2.0,2.25,2.7,2.8499999999999996,2.9699999999999998,DataObject
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,DataStore
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,DataStoreReference
9,0,1.3333333333333333,0.23570226039551587,0.8713569029581222,1.7953097637085444,1.0,1,12,0.7071067811865476,0.5,0.0,2,1,3,1.7500000000000004,1.5000000000000009,0.5637131007100127,3.5871000786328836e-05,1.0,1.0,1.0,2.2,2.5999999999999996,2.92,EndEvent
9,0,1.3333333333333333,0.23570226039551587,0.8713569029581222,1.7953097637085444,1.0,1,12,0.7071067811865476,0.5,0.0,2,1,3,1.7500000000000004,1.5000000000000009,0.5637131007100127,3.5871000786328836e-05,1.0,1.0,1.0,2.2,2.5999999999999996,2.92,ExclusiveGateway
3,0,1.3333333333333333,0.3333333333333333,0.6799999999999999,1.9866666666666666,1.0,1,4,0.5773502691896257,0.3333333333333333,0.5,1,1,2,0.7071067811865479,-1.4999999999999993,0.75,0.0,1.0,1.0,1.5,1.8,1.9,1.98,IntermediateCatchEvent
1,0,3.0,,,,3.0,3,3,,,0.0,0,3,3,,,,,3.0,3.0,3.0,3.0,3.0,3.0,IntermediateThrowEvent
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,ParallelGateway
2,0,1.0,0.0,,,1.0,1,2,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,ReceiveTask
2,0,2.0,1.0,0.040000000000000036,3.96,2.0,1,4,1.4142135623730951,2.0,1.0,2,1,3,,,,,1.5,2.0,2.5,2.8,2.9,2.98,SendTask
10,0,9.6,1.0770329614269007,7.489015395603275,11.710984604396725,8.5,8,96,3.4058772731852804,11.600000000000001,2.0,10,6,16,0.9306111200597084,-0.3541639142114765,0.8485667145021734,0.05585101599882825,8.0,8.5,10.0,15.1,15.549999999999999,15.91,SequenceFlow
3,0,2.0,0.0,,,2.0,2,6,0.0,0.0,0.0,0,2,2,,,,,2.0,2.0,2.0,2.0,2.0,2.0,ServiceTask
10,0,1.1,0.09999999999999999,0.9040000000000001,1.296,1.0,1,11,0.31622776601683794,0.1,0.0,1,1,2,2.666666666666666,5.111111111111107,0.36572062769765235,1.0036928213864587e-07,1.0,1.0,1.0,1.0999999999999996,1.549999999999999,1.9100000000000001,StartEvent
10,0,4.8,0.5333333333333333,3.7546666666666666,5.845333333333333,5.0,5,48,1.6865480854231356,2.8444444444444446,1.75,6,2,8,0.18164062500000036,-0.22607421875,0.9690329452406845,0.8817368578035683,4.0,5.0,5.75,6.199999999999999,7.099999999999998,7.82,UserTask
10,0,8.3,0.7310570733153768,6.867128136301862,9.73287186369814,8.0,7,83,2.3118054512532935,5.344444444444445,2.0,7,5,12,0.46866319351202873,-0.7195076093205008,0.9232902761024222,0.3852161187692448,7.0,8.0,9.0,12.0,12.0,12.0,incoming
10,0,1.4,0.22110831935702666,0.9666276940602276,1.8333723059397722,1.0,1,14,0.6992058987801011,0.48888888888888904,0.75,2,1,3,1.3979162339514495,0.6115702479338849,0.6496887307091794,0.00021758321842693695,1.0,1.0,1.75,2.0999999999999996,2.549999999999999,2.91,laneSets
10,0,1.9,0.2333333333333333,1.4426666666666668,2.357333333333333,2.0,2,19,0.7378647873726218,0.5444444444444444,0.75,2,1,3,0.13994169096209966,-0.9604331528529775,0.8325026358500944,0.03586421822449249,1.25,2.0,2.0,3.0,3.0,3.0,lanes
10,0,8.6,0.77746025264604,7.076177904813761,10.123822095186238,8.0,8,86,2.4585451886114367,6.044444444444444,4.0,6,6,12,0.5825907818811702,-1.2908737024221448,0.8033201685773008,0.01590967346205288,7.0,8.0,11.0,12.0,12.0,12.0,outgoing
10,0,9.4,0.9797958971132712,7.479600041657989,11.320399958342012,8.5,8,94,3.0983866769659336,9.600000000000001,2.0,10,6,16,0.9752598049970057,0.14068930041152194,0.8870123013914464,0.15689457204797747,8.0,8.5,10.0,13.299999999999999,14.649999999999997,15.73,sourceRef
10,0,8.3,0.6674994798166929,6.991701019559283,9.608298980440718,8.5,7,83,2.110818693198342,4.455555555555556,2.75,7,5,12,0.10759626194394639,-0.7805050963613409,0.9774342695461291,0.9499727589825828,7.0,8.5,9.75,10.2,11.099999999999998,11.82,targetRef
